ID,ID2,Species,Locality,Environment,Sex,Aridity,Temperature,Geolocation,TBPLS,#
CW_NR0718,CW_0718,Common wombat,F,NA,F,NA,NA,No,CWTBPLS,35
CW_M1937,CW_1_Ant_L,Common wombat,FSE/SA,SE,F,0.8650968,14.2,Yes,CWTBPLS,8
CW_M22233,CW_1_Ant_R,Common wombat,SE/SA,S,F,0.86772597,14.5,Yes,Nil,28
CW_M22220,CW_1_Extra,Common wombat,SE/SA,DS,F,0.45742047,15.2,Yes,CWTBPLS,25
CW_M11977,CW_1_Pos_L,Common wombat,FSE/SA,S,M,0.878041,13.9,Yes,CWTBPLS,17
CW_M21375,CW_1_Pos_R,Common wombat,N/TAS,SG,F,0.73127985,12.9,Yes,CWTBPLS,26
CW_NR1328,CW_1328,Common wombat,NA,NA,NA,NA,NA,No,CWTBPLS,47
CW_NR1351,CW_1351,Common wombat,NA,NA,NA,NA,NA,No,CWTBPLS,39
CW_NR1352,CW_1352,Common wombat,NA,NA,NA,NA,NA,No,CWTBPLS,67
CW_NR1353,CW_1353,Common wombat,NA,NA,NA,NA,NA,No,CWTBPLS,34
CW_NR1609,CW_1609,Common wombat,NA,NA,NA,NA,NA,No,CWTBPLS,9
CW_M1943,CW_2_Ant_R,Common wombat,FSE/SA,S,M,0.89941716,13.8,Yes,CWTBPLS,27
CW_M11973,CW_2_Extra,Common wombat,N/TAS,SG,M,0.73127985,12.9,Yes,CWTBPLS,68
CW_M11,CW_2_Pos_L,Common wombat,FSE/SA,S,F,0.89941716,13.8,Yes,CWTBPLS,46
CW_M68,CW_2_Pos_R,Common wombat,NE/TAS,S,M,0.8513396,13.2,Yes,CWTBPLS,40
CW_M1942,CW_3_Ant_L,Common wombat,S/NSW,S,M,1.2658747,11.8,Yes,CWTBPLS,16
CW_M11968,CW_3_Ant_R,Common wombat,C/TAS,SG,M,1.3174196,6.3,Yes,CWTBPLS,45
CW_M3721,CW_3_Pos_L,Common wombat,FSE/SA,SE,M,0.7629677,14.4,Yes,CWTBPLS,71
CW_M11976,CW_3_Pos_R,Common wombat,N/TAS,SG,F,0.73127985,12.9,Yes,CWTBPLS,15
CW_J11665,CW_J11665,Common wombat,FS/QLD,T,F,0.47203398,15,Yes,Nil,32
CW_J5422,CW_J5422,Common wombat,FS/QLD,T,NA,0.4799871,15,Yes,Nil,33
CW_J6203A,CW_J6203A,Common wombat,CE/NSW,T,M,0.55891955,13.5,Yes,Nil,43
CW_J6203B,CW_J6203B,Common wombat,CE/NSW,T,M,0.55891955,13.5,Yes,Nil,24
CW_Wombat_Common,CW_Wombat_Common,Common wombat,NA,NA,NA,NA,NA,No,Nil,44
NHNW_B118,NHNW_B118,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,52
NHNW_B131,NHNW_B131,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,Nil,57
NHNW_B135,NHNW_B135,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,Nil,7
NHNW_B14,NHNW_B14,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,12
NHNW_B40,NHNW_B40,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,Nil,70
NHNW_B42,NHNW_B42,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,Nil,59
NHNW_B79,NHNW_B79,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,Nil,49
NHNW_B93,NHNW_B93,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,Nil,61
NHNW_J13143,NHNW_J13143,NHN wombat,NA,NA,M,0.23559456,23.4,Yes,Nil,69
NHNW_J13144,NHNW_J13144,NHN wombat,F,NA,F,0.23559456,23.4,Yes,Nil,2
NHNW_J13145,NHNW_J13145,NHN wombat,M,NA,M,0.23559456,23.4,Yes,Nil,53
NHNW_J14051,NHNW_J14051,NHN wombat,F,NA,F,0.23559456,23.4,Yes,NHNWTBPLS,1
NHNW_J6239,NHNW_J6239,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,Nil,55
NHNW_JM12487,NHNW_JM12487,NHN wombat,M,NA,M,0.23559456,23.4,Yes,NHNWTBPLS,60
NHNW_JM18942,NHNW_JM18942,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,20
NHNW_JM19739,NHNW_JM19739,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,31
NHNW_JM2546,NHNW_JM2546,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,66
NHNW_JM7474,NHNW_JM7474,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,14
NHNW_JM7475,NHNW_JM7475,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,Nil,56
NHNW_JM8463,NHNW_JM8463,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,Nil,6
NHNW_JM8466,NHNW_JM8466,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,38
NHNW_SNC1,NHNW_SNC1,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,37
NHNW_SNC2,NHNW_SNC2,NHN wombat,NA,NA,NA,0.23559456,23.4,Yes,NHNWTBPLS,36
SHNW_M8783,SHNW_1_Ant_L,SHN wombat,SE/SA,MXD,M,0.19729282,16.9,Yes,Nil,4
SHNW_M8746,SHNW_1_Ant_R,SHN wombat,SW/SA,SB,M,0.11024185,17.3,Yes,SHNWTBPLS,19
SHNW_M8887,SHNW_1_Extra,SHN wombat,SE/SA,SBM,M,0.19493218,16.9,Yes,SHNWTBPLS,5
SHNW_M8748,SHNW_1_Pos_L,SHN wombat,SW/SA,SB,F,0.11024185,17.3,Yes,SHNWTBPLS,11
SHNW_M8801,SHNW_1_Pos_R,SHN wombat,SE/SA,MXD,F,0.19729282,16.9,Yes,SHNWTBPLS,18
SHNW_NR1326,SHNW_1326,SHN wombat,NA,NA,NA,NA,NA,No,SHNWTBPLS,51
SHNW_NR1348,SHNW_1348,SHN wombat,NA,NA,NA,NA,NA,No,SHNWTBPLS,48
SHNW_NR1349,SHNW_1349,SHN wombat,NA,NA,NA,NA,NA,No,SHNWTBPLS,58
SHNW_M8807,SHNW_2_Ant_L,SHN wombat,SE/SA,T,F,0.19492234,17,Yes,SHNWTBPLS,62
SHNW_M8749,SHNW_2_Ant_R,SHN wombat,SW/SA,SB,M,0.11024185,17.3,Yes,SHNWTBPLS,50
SHNW_M8867,SHNW_2_Extra,SHN wombat,SE/SA,SBM,F,0.19493218,16.9,Yes,SHNWTBPLS,54
SHNW_M8752,SHNW_2_Pos_R,SHN wombat,SW/SA,SB,M,0.11024185,17.3,Yes,SHNWTBPLS,63
SHNW_M8774,SHNW_3_Ant_L,SHN wombat,SC/SA,SBM,F,0.14122017,17.4,Yes,SHNWTBPLS,29
SHNW_M8952,SHNW_3_Ant_R,SHN wombat,SW/SA,SB,M,0.11024185,17.3,Yes,SHNWTBPLS,13
SHNW_M8892,SHNW_3_Pos_L,SHN wombat,SC/SA,SBM,M,0.14122017,17.4,Yes,SHNWTBPLS,30
SHNW_M8951,SHNW_3_Pos_R,SHN wombat,SE/SA,SBM,F,0.19493218,16.9,Yes,SHNWTBPLS,10
SHNW_F_Poor_Teeth,SHNW_F_Poor_Teeth,SHN wombat,CSW/SA,DS,F,0.14424941,17.1,Yes,SHNWTBPLS,21
SHNW_Holly,SHNW_Holly,SHN wombat,CSW/SA*,DS*,F,NA,NA,No,SHNWTBPLS,64
SHNW_J16968,SHNW_J16968,SHN wombat,NA,NA,NA,NA,NA,No,Nil,42
SHNW_J17772,SHNW_J17772,SHN wombat,NA,NA,NA,NA,NA,No,Nil,41
SHNW_Kyle,SHNW_Kyle,SHN wombat,CSW/SA*,DS*,M,NA,NA,No,Nil,65
SHNW_M_Good_Teeth,SHNW_M_Good_Teeth,SHN wombat,CSW/SA,DS,M,0.14424941,17.1,Yes,SHNWTBPLS,22
SHNW_M_Poor_Teeth,SHNW_M_Poor_Teeth,SHN wombat,CSW/SA,DS,M,0.14424941,17.1,Yes,Nil,23
SHNW_Mr_Fox,SHNW_Mr_Fox,SHN wombat,CSW/SA*,DS*,F,NA,NA,No,SHNWTBPLS,3
